DepthT,Temperature,H_q
0.00,100.0000,0
21.33,101.0000,0
63.99,103.0000,0
106.65,105.0000,0
149.31,107.0000,0
191.97,109.0000,0
234.63,111.0000,0
277.29,113.0000,0
319.95,115.0000,0
362.61,117.0000,0
405.27,119.0000,0
447.93,121.0000,0
490.59,123.0000,0
533.25,125.0000,0
575.91,127.0000,0
618.57,129.0000,0
661.23,131.0000,0
703.89,133.0000,0
746.55,135.0000,0
789.21,137.0000,0
831.87,139.0000,0
874.53,141.0000,0
917.19,143.0000,0
959.85,145.0000,0
1002.51,147.0000,0
1045.17,149.0000,0
1087.83,151.0000,0
1130.49,153.0000,0
1173.15,155.0000,0
1215.81,157.0000,0
1258.47,159.0000,0
1301.13,161.0000,0
1343.79,163.0000,0
1386.45,165.0000,0
1429.11,167.0000,0
1471.77,169.0000,0
1514.43,171.0000,0
1557.09,173.0000,0
1599.75,175.0000,0
1642.41,177.0000,0
1685.07,179.0000,0
1727.73,181.0000,0
1770.39,183.0000,0
1813.05,185.0000,0
1855.71,187.0000,0
1898.37,189.0000,0
1941.03,191.0000,0
1983.69,193.0000,0
2026.35,195.0000,0
2069.01,197.0000,0
2111.67,199.0000,0
2133.00,200.0000,0
