Pressure,DepthP
2.057180,21.33
2.249050,63.99
2.431760,106.65
2.608480,149.31
2.782040,191.97
2.954720,234.63
3.128470,277.29
3.304990,319.95
3.485880,362.61
3.672680,405.27
3.867020,447.93
4.070580,490.59
4.285240,533.25
4.513100,575.91
4.756570,618.57
5.018490,661.23
5.302260,703.89
5.612010,746.55
5.952900,789.21
6.331480,831.87
6.756290,874.53
7.238800,917.19
7.794960,959.85
8.448060,1002.51
9.234340,1045.17
10.215590,1087.83
11.514710,1130.49
13.468690,1173.15
16.487200,1215.81
20.116580,1258.47
23.746820,1301.13
27.377900,1343.79
31.009830,1386.45
34.642600,1429.11
38.276210,1471.77
41.910670,1514.43
45.545970,1557.09
49.182100,1599.75
52.819080,1642.41
56.456890,1685.07
60.095540,1727.73
63.735020,1770.39
67.375330,1813.05
71.016480,1855.71
74.658460,1898.37
78.301260,1941.03
81.944900,1983.69
85.589360,2026.35
89.234650,2069.01
92.882210,2111.67
