Temperature,DepthT
121.1050,21.33
123.9623,63.99
126.5041,106.65
128.8189,149.31
130.9713,191.97
133.0075,234.63
134.9612,277.29
136.8581,319.95
138.7188,362.61
140.5603,405.27
142.3977,447.93
144.2442,490.59
146.1126,533.25
148.0154,575.91
149.9652,618.57
151.9754,661.23
154.0606,703.89
156.2373,746.55
158.5247,789.21
160.9456,831.87
163.5287,874.53
166.3104,917.19
169.3398,959.85
172.6860,1002.51
176.4532,1045.17
180.8146,1087.83
186.1076,1130.49
193.2473,1173.15
198.4053,1215.81
198.4652,1258.47
198.5251,1301.13
198.5849,1343.79
198.6447,1386.45
198.7044,1429.11
198.7640,1471.77
198.8236,1514.43
198.8831,1557.09
198.9426,1599.75
199.0020,1642.41
199.0613,1685.07
199.1206,1727.73
199.1798,1770.39
199.2389,1813.05
199.2980,1855.71
199.3570,1898.37
199.4160,1941.03
199.4749,1983.69
199.5337,2026.35
199.5925,2069.01
199.6512,2111.67
