DepthP,Pressure
0.00,5.0000
21.33,6.9500
63.99,10.8500
106.65,14.7500
149.31,18.6500
191.97,22.5500
234.63,26.4500
277.29,30.3500
319.95,34.2500
362.61,38.1500
405.27,42.0500
447.93,45.9500
490.59,49.8500
533.25,53.7500
575.91,57.6500
618.57,61.5500
661.23,65.4500
703.89,69.3500
746.55,73.2500
789.21,77.1500
831.87,81.0500
874.53,84.9500
917.19,88.8500
959.85,92.7500
1002.51,96.6500
1045.17,100.5500
1087.83,104.4500
1130.49,108.3500
1173.15,112.2500
1215.81,116.1500
1258.47,120.0500
1301.13,123.9500
1343.79,127.8500
1386.45,131.7500
1429.11,135.6500
1471.77,139.5500
1514.43,143.4500
1557.09,147.3500
1599.75,151.2500
1642.41,155.1500
1685.07,159.0500
1727.73,162.9500
1770.39,166.8500
1813.05,170.7500
1855.71,174.6500
1898.37,178.5500
1941.03,182.4500
1983.69,186.3500
2026.35,190.2500
2069.01,194.1500
2111.67,198.0500
2133.00,200.0000
