DepthT,Temperature,H_q
0.00,40.5556,62.6
21.33,43.5102,62.6
63.99,49.4196,62.6
106.65,55.3290,62.6
149.31,61.2384,62.6
191.97,69.7008,62.6
234.63,78.3627,62.6
277.29,87.0246,62.6
319.95,95.0736,62.6
362.61,102.0094,62.6
405.27,108.9451,62.6
447.93,115.8809,62.6
490.59,122.8531,62.6
533.25,129.8355,62.6
575.91,136.8179,62.6
618.57,143.3756,62.6
661.23,148.3363,62.6
703.89,153.2971,62.6
746.55,158.2579,62.6
789.21,161.4239,62.6
831.87,163.5699,62.6
874.53,165.7160,62.6
917.19,167.8286,62.6
959.85,169.4614,62.6
1002.51,171.0943,62.6
1045.17,172.7271,62.6
1087.83,174.0306,62.6
1130.49,174.9947,62.6
1173.15,175.9589,62.6
1215.81,176.9230,62.6
1258.47,178.7626,62.6
1301.13,179.2292,62.6
1343.79,179.6957,62.6
1386.45,180.2271,62.6
1429.11,180.8802,62.6
1471.77,181.5334,62.6
1514.43,182.1865,62.6
1557.09,182.9120,62.6
1599.75,183.6585,62.6
1642.41,184.4049,62.6
1685.07,185.1356,62.6
1727.73,185.8043,62.6
1770.39,186.4730,62.6
1813.05,187.1417,62.6
1855.71,187.9721,62.6
1898.37,188.8974,62.6
1941.03,189.8226,62.6
1983.69,190.7479,62.6
2026.35,191.6732,62.6
2069.01,192.5985,62.6
2111.67,193.5238,62.6
2133.00,193.9647,62.6
