Pressure,DepthP
2.017333,21.33
2.210014,63.99
2.393216,106.65
2.570213,149.31
2.743885,191.97
2.916559,234.63
3.090177,277.29
3.266442,319.95
3.446943,362.61
3.633234,405.27
3.826908,447.93
4.029661,490.59
4.243348,533.25
4.470065,575.91
4.712224,618.57
4.972664,661.23
5.254786,703.89
5.562740,746.55
5.901698,789.21
6.278239,831.87
6.700940,874.53
7.181318,917.19
7.735434,959.85
8.386761,1002.51
9.171891,1045.17
10.153525,1087.83
11.457234,1130.49
13.433962,1173.15
16.472269,1215.81
20.103256,1258.47
23.734979,1301.13
27.367445,1343.79
31.000653,1386.45
34.634604,1429.11
38.269302,1471.77
41.904746,1514.43
45.540940,1557.09
49.177886,1599.75
52.815586,1642.41
56.454042,1685.07
60.093258,1727.73
63.733235,1770.39
67.373975,1813.05
71.015481,1855.71
74.657755,1898.37
78.300801,1941.03
81.944621,1983.69
85.589220,2026.35
89.234601,2069.01
92.882214,2111.67
